filename,rating1,rating2
26_1_1_20170103181931657.jpg.chip.jpg,5,3
27_1_1_20170116223029775.jpg.chip.jpg,5,2
34_1_1_20170114033230436.jpg.chip.jpg,2,2
36_0_1_20170117163255045.jpg.chip.jpg,4,5
36_0_1_20170116193844474.jpg.chip.jpg,5,5
50_0_1_20170113184224648.jpg.chip.jpg,3,4
35_0_1_20170117091619928.jpg.chip.jpg,5,2
30_0_1_20170117123837646.jpg.chip.jpg,5,3
24_1_1_20170117194632596.jpg.chip.jpg,4,5
20_1_1_20170105002448621.jpg.chip.jpg,3,5
26_0_1_20170116204941727.jpg.chip.jpg,4,1
24_1_1_20170112234345639.jpg.chip.jpg,2,5
35_0_1_20170117143129752.jpg.chip.jpg,2,3
26_0_1_20170116142853699.jpg.chip.jpg,2,2
27_1_1_20170116214220570.jpg.chip.jpg,4,2
26_0_1_20170113151639816.jpg.chip.jpg,5,4
27_0_1_20170116220626107.jpg.chip.jpg,5,2
27_0_1_20170117172206988.jpg.chip.jpg,4,5
31_0_1_20170113182315918.jpg.chip.jpg,1,1
38_0_1_20170113190540449.jpg.chip.jpg,3,3
26_0_1_20170103210459306.jpg.chip.jpg,5,4
32_0_1_20170117140225687.jpg.chip.jpg,4,5
31_0_1_20170116203929663.jpg.chip.jpg,5,5
26_1_1_20170117153641469.jpg.chip.jpg,2,1
27_1_1_20170112213507183.jpg.chip.jpg,4,5
32_1_1_20170113011729264.jpg.chip.jpg,5,5
21_0_1_20170113180920187.jpg.chip.jpg,5,5
35_1_1_20170112211938516.jpg.chip.jpg,4,3
34_0_1_20170117184804228.jpg.chip.jpg,2,2
25_0_1_20170113145218790.jpg.chip.jpg,2,2
26_0_1_20170116204840434.jpg.chip.jpg,4,3
50_1_1_20170113002034412.jpg.chip.jpg,4,3
36_1_1_20170109141849605.jpg.chip.jpg,3,3
28_0_1_20170117202354238.jpg.chip.jpg,1,1
45_0_1_20170113154803466.jpg.chip.jpg,1,2
46_0_1_20170113173056321.jpg.chip.jpg,3,3
26_0_1_20170113155124217.jpg.chip.jpg,5,5
21_1_1_20170117132654031.jpg.chip.jpg,5,5
42_0_1_20170113190550529.jpg.chip.jpg,2,1
28_0_1_20170112211810813.jpg.chip.jpg,3,4
38_0_1_20170117142745510.jpg.chip.jpg,5,5
