filename,226625,s262010,mean_rating
36_0_1_20170117163203851.jpg.chip.jpg,1.0,2.0,1.5
35_0_1_20170117173329389.jpg.chip.jpg,2.0,3.0,2.5
36_0_1_20170117163255045.jpg.chip.jpg,5.0,4.0,4.5
44_0_1_20170113142045653.jpg.chip.jpg,1.5,2.5,2.0
36_0_1_20170116193844474.jpg.chip.jpg,5.0,4.5,4.75
50_0_1_20170117135045974.jpg.chip.jpg,1.0,2.0,1.5
50_0_1_20170117181702370.jpg.chip.jpg,1.0,2.5,1.75
50_0_1_20170113184224648.jpg.chip.jpg,5.0,4.0,4.5
35_0_1_20170117091619928.jpg.chip.jpg,4.5,4.0,4.25
42_0_1_20170113184124287.jpg.chip.jpg,1.0,2.0,1.5
30_0_1_20170117123837646.jpg.chip.jpg,5.0,4.0,4.5
26_0_1_20170116204941727.jpg.chip.jpg,3.0,3.0,3.0
35_0_1_20170117143129752.jpg.chip.jpg,5.0,4.0,4.5
40_0_1_20170117170126359.jpg.chip.jpg,1.0,2.0,1.5
43_0_1_20170117175541909.jpg.chip - Copia.jpg,1.0,1.5,1.25
26_0_1_20170113151639816.jpg.chip.jpg,5.0,4.5,4.75
45_0_1_20170116010527476.jpg.chip.jpg,1.5,2.0,1.75
27_0_1_20170116220626107.jpg.chip.jpg,3.5,3.0,3.25
45_0_1_20170117173736387.jpg.chip.jpg,1.5,3.0,2.25
36_0_1_20170117154315346.jpg.chip.jpg,2.0,1.5,1.75
26_0_1_20170103210459306.jpg.chip.jpg,5.0,5.0,5.0
36_0_1_20170117135448300.jpg.chip.jpg,1.0,2.5,1.75
37_0_1_20170117164034574.jpg.chip.jpg,1.5,1.5,1.5
35_0_1_20170117094513411.jpg.chip.jpg,2.5,2.0,2.25
42_0_1_20170116194444692.jpg.chip.jpg,1.5,2.0,1.75
42_0_1_20170117171628313.jpg.chip.jpg,1.0,2.0,1.5
21_0_1_20170113180920187.jpg.chip.jpg,5.0,4.0,4.5
41_0_1_20170116003552644.jpg.chip.jpg,1.5,1.0,1.25
34_0_1_20170117184804228.jpg.chip.jpg,3.5,2.0,2.75
26_0_1_20170116204840434.jpg.chip.jpg,4.5,4.0,4.25
35_0_1_20170117141840057.jpg.chip.jpg,1.0,1.5,1.25
35_0_1_20170116030445338.jpg.chip.jpg,1.5,2.5,2.0
28_0_1_20170117202354238.jpg.chip.jpg,1.5,2.5,2.0
36_0_1_20170117010044349.jpg.chip.jpg,1.5,2.5,2.0
50_0_1_20170117184611832.jpg.chip.jpg,2.5,2.0,2.25
45_0_1_20170113154803466.jpg.chip.jpg,3.5,3.5,3.5
46_0_1_20170113173056321.jpg.chip.jpg,5.0,4.5,4.75
37_0_1_20170117164405007.jpg.chip.jpg,1.5,2.0,1.75
42_0_1_20170113190550529.jpg.chip.jpg,3.5,2.5,3.0
28_0_1_20170112211810813.jpg.chip.jpg,5.0,4.0,4.5
48_0_1_20170117171859064.jpg.chip.jpg,1.0,1.5,1.25
50_0_1_20170117173743345.jpg.chip.jpg,3.0,2.0,2.5
32_0_1_20170113135328377.jpg.chip.jpg,2.0,3.0,2.5
38_0_1_20170117005920398.jpg.chip.jpg,3.5,2.0,2.75
40_0_1_20170117170545162.jpg.chip.jpg,3.0,3.0,3.0
28_0_1_20170104202028882.jpg.chip.jpg,4.0,3.0,3.5
46_0_1_20170113142208515.jpg.chip.jpg,5.0,4.0,4.5
38_0_1_20170113142215610.jpg.chip.jpg,5.0,4.0,4.5
39_0_1_20170113134310831.jpg.chip.jpg,5.0,4.5,4.75
34_0_1_20170117203210989.jpg.chip.jpg,2.0,2.0,2.0
37_0_1_20170117104624750.jpg.chip.jpg,1.0,2.0,1.5
26_0_1_20170114033050455.jpg.chip.jpg,5.0,4.5,4.75
20_0_1_20170113133046720.jpg.chip.jpg,4.5,4.0,4.25
34_0_1_20170117141355339.jpg.chip.jpg,5.0,4.5,4.75
50_0_1_20170113142149603.jpg.chip.jpg,4.5,4.5,4.5
32_0_1_20170113155159833.jpg.chip.jpg,1.0,2.5,1.75
45_0_1_20170114033528807.jpg.chip.jpg,2.0,4.0,3.0
35_0_1_20170113173010410.jpg.chip.jpg,1.0,3.0,2.0
35_0_1_20170117104607288.jpg.chip.jpg,1.0,2.0,1.5
40_0_1_20170117170613429.jpg.chip.jpg,2.5,2.0,2.25
39_0_1_20170113141736403.jpg.chip.jpg,1.0,2.5,1.75
42_0_1_20170113155108219.jpg.chip.jpg,1.5,1.5,1.5
26_0_1_20170113134354008.jpg.chip.jpg,1.0,2.0,1.5
38_0_1_20170117184650128.jpg.chip.jpg,1.0,2.0,1.5
37_0_1_20170117192109027.jpg.chip.jpg,2.0,2.5,2.25
34_0_1_20170117190152870.jpg.chip.jpg,1.0,2.0,1.5
47_0_1_20170117172015693.jpg.chip.jpg,2.0,2.0,2.0
40_0_1_20170117173250993.jpg.chip.jpg,1.5,2.0,1.75
45_0_1_20170117165650390.jpg.chip.jpg,1.0,1.0,1.0
26_0_1_20170116210425844.jpg.chip.jpg,5.0,4.5,4.75
32_0_1_20170117183752355.jpg.chip.jpg,1.5,3.5,2.5
36_0_1_20170116205322430.jpg.chip.jpg,1.5,2.5,2.0
40_0_1_20170117170632910.jpg.chip.jpg,1.5,1.5,1.5
37_0_1_20170116202035694.jpg.chip.jpg,5.0,4.5,4.75
23_0_1_20170114033506795.jpg.chip.jpg,2.5,2.0,2.25
27_0_1_20170116030530533.jpg.chip.jpg,1.0,2.5,1.75
20_0_1_20170113133103776.jpg.chip.jpg,1.5,2.0,1.75
48_0_1_20170117172159893.jpg.chip.jpg,1.5,3.0,2.25
35_0_1_20170117181203308.jpg.chip.jpg,1.5,3.0,2.25
36_0_1_20170113133851480.jpg.chip.jpg,1.0,1.5,1.25
20_0_1_20170117184658976.jpg.chip.jpg,1.0,2.5,1.75
